movie_id,title,rating,meta_score,year,revenue,director_id
120,transformers rise of the beasts,6.0,42.0,2023,429800000,824.0
121,top gun maverick,8.3,78.0,2022,1488732821,459.0
122,beverly hills cop,7.4,66.0,1984,316360478,545.0
123,the christmas chronicles,7.0,52.0,2018,0,159.0
124,dungeons & dragons honor among thieves,7.3,72.0,2023,208177026,
125,pearl,7.0,76.0,2022,9423445,855.0
126,the nightmare before christmas,7.9,82.0,1993,75634409,324.0
127,deck the halls,5.0,28.0,2006,47231070,438.0
128,bottoms,6.8,74.0,2023,11600000,240.0
129,avatar the way of water,7.6,67.0,2022,2320250281,343.0
130,love,6.1,51.0,2015,249083,277.0
131,inception,8.8,74.0,2010,825532764,154.0
132,the goonies,7.7,62.0,1985,61389680,714.0
133,saw x,6.6,60.0,2023,29300000,489.0
134,godzilla,6.4,62.0,2014,529076069,269.0
135,its a wonderful knife,5.3,52.0,2023,0,887.0
136,a christmas story christmas,6.7,55.0,2022,0,159.0
137,babylon,7.1,61.0,2022,63363579,171.0
138,whiplash,8.5,89.0,2014,13092000,171.0
139,titanic,7.9,75.0,1997,2264162353,343.0
140,shazam! fury of the gods,6.0,47.0,2023,133437105,192.0
141,a good person,7.1,50.0,2023,0,914.0
142,the color purple,7.7,78.0,1985,146292000,829.0
143,die hard 2,7.1,67.0,1990,240031094,708.0
144,fair play,6.4,73.0,2023,0,135.0
145,the wizard of oz,8.1,92.0,1939,33754967,
146,fargo,8.1,86.0,1996,60611975,
147,dumb money,6.9,66.0,2023,0,167.0
148,love story,6.9,84.0,1970,136400000,66.0
149,requiem for a dream,8.3,71.0,2000,7390108,184.0
150,the favourite,7.5,91.0,2018,95918706,912.0
151,nyad,7.1,64.0,2023,0,
152,goodfellas,8.7,92.0,1990,46835000,548.0
153,midsommar,7.1,72.0,2019,47969371,63.0
154,silent night,5.7,52.0,2021,0,121.0
155,the gentlemen,7.8,51.0,2019,115171795,314.0
156,"the chronicles of narnia the lion, the witch and the wardrobe",6.9,75.0,2005,745013115,35.0
157,inglourious basterds,8.4,69.0,2009,321457747,698.0
158,godzilla vs. kong,6.3,59.0,2021,470116094,10.0
159,mean girls,7.1,66.0,2004,130126277,543.0
160,the family man,6.8,42.0,2000,124700000,107.0
161,shes all that,5.9,51.0,1999,103166989,730.0
162,triangle of sadness,7.3,63.0,2022,24733572,756.0
163,black swan,8.0,79.0,2010,329398046,184.0
164,kingdom of heaven,7.2,63.0,2005,218122627,717.0
165,the northman,7.0,82.0,2022,69633110,729.0
166,prometheus,7.0,64.0,2012,403354469,717.0
167,spider-man no way home,8.2,71.0,2021,1921847111,446.0
168,the rocky horror picture show,7.4,65.0,1975,112892319,391.0
169,se7en,8.6,65.0,1995,327311859,193.0
170,elemental,7.0,58.0,2023,486797988,685.0
171,origin,6.5,76.0,2023,0,69.0
172,hunter killer,6.6,43.0,2018,31672678,225.0
173,pain hustlers,6.5,44.0,2023,0,210.0
174,the silence of the lambs,8.6,86.0,1991,272742922,449.0
175,joker,8.4,59.0,2019,1074458282,865.0
176,the flash,6.7,55.0,2023,268375616,47.0
177,old dads,6.2,42.0,2023,0,85.0
